"日付","取引所コード","株式債券種別ｺｰﾄﾞ","銘柄コード","ISIN","前場始値","前場高値","前場安値","前場終値","後場始値","後場高値","後場安値","後場終値","日通し始値","日通し高値","日通し安値","日通し終値","特別気配コード","特別気配値段","清算値段／証拠金算定基準値段","売買高","売買代金","VWAP"
"20220119","01","11","    13010","JP3257200000","3115.0000","3115.0000","3085.0000","3090.0000","3095.0000","3095.0000","3055.0000","3055.0000","3115.0000","3115.0000","3055.0000","3055.0000"," ","0.0000","0.0000","18100","55753000","3080.2762"
"20220119","01","11","    13050","JP3027620008","2047.0000","2060.0000","2039.0000","2046.0000","2037.5000","2037.5000","2015.0000","2022.0000","2047.0000","2060.0000","2015.0000","2022.0000"," ","0.0000","0.0000","201570","411041165","2039.1981"
"20220119","01","11","    13060","JP3027630007","2026.0000","2037.0000","2017.0000","2024.0000","2015.5000","2016.0000","1992.0000","2000.0000","2026.0000","2037.0000","1992.0000","2000.0000"," ","0.0000","0.0000","4575680","9220120015","2015.0273"
"20220119","01","11","    13080","JP3039100007","2004.0000","2013.0000","1995.0000","2001.0000","1993.0000","1993.0000","1971.0000","1978.0000","2004.0000","2013.0000","1971.0000","1978.0000"," ","0.0000","0.0000","519900","1034073850","1988.9861"
"20220119","01","11","    13090","JP3046510008","43270.0000","43400.0000","43000.0000","43150.0000","43150.0000","43410.0000","42930.0000","43410.0000","43270.0000","43410.0000","42930.0000","43410.0000"," ","0.0000","0.0000","87","3758220","43197.9310"
"20220119","01","11","    13110","JP3040140000","970.0000","976.9000","962.1000","967.8000","967.7000","977.4000","948.1000","962.0000","970.0000","977.4000","948.1000","962.0000"," ","0.0000","0.0000","41820","40181599","960.8225"
"20220119","01","11","    13120","JP3046520007","19900.0000","19900.0000","19610.0000","19610.0000","19610.0000","19690.0000","19400.0000","19400.0000","19900.0000","19900.0000","19400.0000","19400.0000"," ","0.0000","0.0000","64","1255220","19612.8125"
"20220119","01","11","    13200","JP3027640006","28675.0000","28730.0000","28540.0000","28600.0000","28515.0000","28525.0000","28150.0000","28295.0000","28675.0000","28730.0000","28150.0000","28295.0000"," ","0.0000","0.0000","154693","4406129335","28483.0557"
"20220119","01","11","    13210","JP3027650005","28730.0000","28795.0000","28600.0000","28645.0000","28570.0000","28580.0000","28230.0000","28415.0000","28730.0000","28795.0000","28230.0000","28415.0000"," ","0.0000","0.0000","588011","16772464335","28524.0656"
"20220119","01","11","    13220","JP3046760009","8250.0000","8250.0000","8135.0000","8135.0000","8136.0000","8136.0000","8100.0000","8100.0000","8250.0000","8250.0000","8100.0000","8100.0000"," ","0.0000","0.0000","230","1873740","8146.6957"
"20220119","01","11","    13230","JP3046780007","500.2000","500.2000","497.7000","499.8000","499.5000","499.8000","498.2000","498.2000","500.2000","500.2000","497.7000","498.2000"," ","0.0000","0.0000","3600","1796770","499.1028"
"20220119","01","11","    13240","JP3046790006","149.0000","149.9000","147.2000","147.7000","147.3000","148.3000","146.9000","148.3000","149.0000","149.9000","146.9000","148.3000"," ","0.0000","0.0000","131200","19457300","148.3026"
"20220119","01","11","    13250","JP3046800003","170.0000","170.0000","167.1000","168.0000","167.2000","168.0000","167.0000","168.0000","170.0000","170.0000","167.0000","168.0000"," ","0.0000","0.0000","21900","3684270","168.2315"
"20220119","01","11","    13280","JP3046490003","5251.0000","5251.0000","5243.0000","5245.0000","5240.0000","5240.0000","5225.0000","5228.0000","5251.0000","5251.0000","5225.0000","5228.0000"," ","0.0000","0.0000","8640","45249700","5237.2338"
"20220119","01","11","    13290","JP3027710007","28875.0000","28930.0000","28740.0000","28795.0000","28705.0000","28715.0000","28350.0000","28490.0000","28875.0000","28930.0000","28350.0000","28490.0000"," ","0.0000","0.0000","38583","1105994115","28665.3219"
"20220119","01","11","    13300","JP3027660004","28770.0000","28830.0000","28640.0000","28680.0000","28615.0000","28615.0000","28245.0000","28400.0000","28770.0000","28830.0000","28245.0000","28400.0000"," ","0.0000","0.0000","117010","3345223800","28589.2129"
"20220119","01","11","    13320","JP3718800000","528.0000","535.0000","526.0000","530.0000","528.0000","529.0000","520.0000","523.0000","528.0000","535.0000","520.0000","523.0000"," ","0.0000","0.0000","2479400","1304665700","526.2022"
"20220119","01","11","    13330","JP3876600002","2381.0000","2398.0000","2369.0000","2388.0000","2384.0000","2384.0000","2360.0000","2363.0000","2381.0000","2398.0000","2360.0000","2363.0000"," ","0.0000","0.0000","119800","284373500","2373.7354"
"20220119","01","11","    13430","JP3047010008","2106.0000","2110.0000","2090.0000","2090.5000","2090.0000","2090.0000","2035.5000","2043.0000","2106.0000","2110.0000","2035.5000","2043.0000"," ","0.0000","0.0000","1062560","2196356265","2067.0421"
"20220119","01","11","    13450","JP3047030006","1989.5000","1989.5000","1965.0000","1967.5000","1968.0000","1968.0000","1914.0000","1921.0000","1989.5000","1989.5000","1914.0000","1921.0000"," ","0.0000","0.0000","262500","512325600","1951.7166"
"20220119","01","11","    13460","JP3047040005","28660.0000","28710.0000","28520.0000","28580.0000","28495.0000","28500.0000","28150.0000","28295.0000","28660.0000","28710.0000","28150.0000","28295.0000"," ","0.0000","0.0000","56836","1618183015","28471.0925"
"20220119","01","11","    13480","JP3047060003","2005.5000","2018.0000","1997.5000","2004.5000","2000.0000","2000.0000","1974.5000","1990.0000","2005.5000","2018.0000","1974.5000","1990.0000"," ","0.0000","0.0000","197410","394150040","1996.6063"
