"日付","取引所コード","株式債券種別ｺｰﾄﾞ","銘柄コード","ISIN","前場始値","前場高値","前場安値","前場終値","後場始値","後場高値","後場安値","後場終値","日通し始値","日通し高値","日通し安値","日通し終値","特別気配コード","特別気配値段","清算値段／証拠金算定基準値段","売買高","売買代金","VWAP"
"20220621","01","13","    13130","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"," ","0.0000","0.0000","0","0","0.0000"
"20220621","01","13","    13260","","23165.0000","23215.0000","23165.0000","23195.0000","23180.0000","23180.0000","23095.0000","23120.0000","23165.0000","23215.0000","23095.0000","23120.0000"," ","0.0000","0.0000","7959","184409730","23169.9623"
"20220621","01","13","    13490","","14565.0000","14565.0000","14565.0000","14565.0000","0.0000","0.0000","0.0000","0.0000","14565.0000","14565.0000","14565.0000","14565.0000"," ","0.0000","0.0000","7","101955","14565.0000"
"20220621","01","13","    13850","","5140.0000","5150.0000","5120.0000","5150.0000","5150.0000","5180.0000","5150.0000","5180.0000","5140.0000","5180.0000","5120.0000","5180.0000"," ","0.0000","0.0000","69","355760","5155.9420"
"20220621","01","13","    13860","","9884.0000","9884.0000","9578.0000","9786.0000","9646.0000","9785.0000","9646.0000","9785.0000","9884.0000","9884.0000","9578.0000","9785.0000"," ","0.0000","0.0000","377","3625049","9615.5146"
"20220621","01","13","    13870","","17890.0000","17890.0000","17890.0000","17890.0000","0.0000","0.0000","0.0000","0.0000","17890.0000","17890.0000","17890.0000","17890.0000"," ","0.0000","0.0000","1","17890","17890.0000"
"20220621","01","13","    13880","","15600.0000","15600.0000","15600.0000","15600.0000","0.0000","0.0000","0.0000","0.0000","15600.0000","15600.0000","15600.0000","15600.0000"," ","0.0000","0.0000","1","15600","15600.0000"
"20220621","01","13","    13890","","10910.0000","11100.0000","10910.0000","11100.0000","11095.0000","11095.0000","11095.0000","11095.0000","10910.0000","11100.0000","10910.0000","11095.0000"," ","0.0000","0.0000","17","186770","10986.4706"
"20220621","01","13","    13900","","5500.0000","5510.0000","5500.0000","5510.0000","5520.0000","5520.0000","5520.0000","5520.0000","5500.0000","5520.0000","5500.0000","5520.0000"," ","0.0000","0.0000","12","66110","5509.1667"
"20220621","01","13","    13910","","2902.0000","2938.0000","2901.0000","2901.0000","2901.0000","2928.0000","2837.0000","2922.0000","2902.0000","2938.0000","2837.0000","2922.0000"," ","0.0000","0.0000","460","1323127","2876.3630"
"20220621","01","13","    13920","","3000.0000","3035.0000","3000.0000","3035.0000","3000.0000","3000.0000","3000.0000","3000.0000","3000.0000","3035.0000","3000.0000","3000.0000"," ","0.0000","0.0000","32","96060","3001.8750"
"20220621","01","13","    13930","","49230.0000","49390.0000","49230.0000","49390.0000","49230.0000","49890.0000","49230.0000","49890.0000","49230.0000","49890.0000","49230.0000","49890.0000"," ","0.0000","0.0000","20","994580","49729.0000"
"20220621","01","13","    13940","","34590.0000","34590.0000","34590.0000","34590.0000","0.0000","0.0000","0.0000","0.0000","34590.0000","34590.0000","34590.0000","34590.0000"," ","0.0000","0.0000","1","34590","34590.0000"
"20220621","01","13","    15570","","49940.0000","50110.0000","49900.0000","50090.0000","50200.0000","50240.0000","50100.0000","50140.0000","49940.0000","50240.0000","49900.0000","50140.0000"," ","0.0000","0.0000","5908","295794460","50066.7671"
"20220621","01","13","    15750","","839.0000","839.0000","822.4000","836.0000","836.0000","836.0000","836.0000","836.0000","839.0000","839.0000","822.4000","836.0000"," ","0.0000","0.0000","270","223844","829.0519"
"20220621","01","13","    15840","","855.0000","855.0000","855.0000","855.0000","0.0000","0.0000","0.0000","0.0000","855.0000","855.0000","855.0000","855.0000"," ","0.0000","0.0000","10","8550","855.0000"
"20220621","01","13","    16720","","23390.0000","23455.0000","23390.0000","23450.0000","23450.0000","23455.0000","23380.0000","23400.0000","23390.0000","23455.0000","23380.0000","23400.0000"," ","0.0000","0.0000","79","1850225","23420.5696"
"20220621","01","13","    16730","","2726.5000","2744.5000","2719.0000","2744.5000","2718.5000","2738.0000","2718.5000","2738.0000","2726.5000","2744.5000","2718.5000","2738.0000"," ","0.0000","0.0000","620","1691365","2728.0081"
"20220621","01","13","    16740","","11910.0000","11910.0000","11895.0000","11895.0000","11895.0000","11895.0000","11725.0000","11800.0000","11910.0000","11910.0000","11725.0000","11800.0000"," ","0.0000","0.0000","130","1534945","11807.2692"
"20220621","01","13","    16750","","23040.0000","23130.0000","23040.0000","23040.0000","23180.0000","23220.0000","23135.0000","23135.0000","23040.0000","23220.0000","23040.0000","23135.0000"," ","0.0000","0.0000","64","1481635","23150.5469"
"20220621","01","13","    16760","","18895.0000","18895.0000","18670.0000","18670.0000","0.0000","0.0000","0.0000","0.0000","18895.0000","18895.0000","18670.0000","18670.0000"," ","0.0000","0.0000","17","320740","18867.0588"
"20220621","01","13","    16840","","1792.0000","1792.0000","1791.5000","1792.0000","1791.5000","1791.5000","1789.0000","1789.0000","1792.0000","1792.0000","1789.0000","1789.0000"," ","0.0000","0.0000","170","304330","1790.1765"
"20220621","01","13","    16850","","769.3000","779.0000","769.3000","779.0000","779.9000","781.5000","775.6000","775.6000","769.3000","781.5000","769.3000","775.6000"," ","0.0000","0.0000","7710","5994272","777.4672"
"20220621","01","13","    16860","","2180.0000","2220.0000","2180.0000","2220.0000","2200.0000","2200.0000","2200.0000","2200.0000","2180.0000","2220.0000","2180.0000","2200.0000"," ","0.0000","0.0000","860","1906680","2217.0698"
"20220621","01","13","    16870","","969.9000","970.5000","962.3000","968.8000","968.7000","971.3000","965.1000","965.1000","969.9000","971.3000","962.3000","965.1000"," ","0.0000","0.0000","9250","8933113","965.7419"
"20220621","01","13","    16880","","734.1000","735.7000","726.6000","732.0000","728.1000","730.6000","724.1000","724.1000","734.1000","735.7000","724.1000","724.1000"," ","0.0000","0.0000","22500","16410975","729.3767"
"20220621","01","13","    16890","","3.7000","3.8000","3.7000","3.8000","3.8000","3.8000","3.7000","3.7000","3.7000","3.8000","3.7000","3.7000"," ","0.0000","0.0000","16380000","60898900","3.7179"
"20220621","01","13","    16900","","1508.0000","1530.0000","1508.0000","1525.5000","1523.5000","1523.5000","1511.0000","1511.0000","1508.0000","1530.0000","1508.0000","1511.0000"," ","0.0000","0.0000","6310","9586495","1519.2544"
"20220621","01","13","    16910","","7255.0000","7528.0000","7255.0000","7519.0000","7518.0000","7529.0000","7518.0000","7528.0000","7255.0000","7529.0000","7255.0000","7528.0000"," ","0.0000","0.0000","170","1274568","7497.4588"
"20220621","01","13","    16920","","465.9000","469.2000","463.6000","469.2000","466.4000","469.9000","463.0000","464.2000","465.9000","469.9000","463.0000","464.2000"," ","0.0000","0.0000","6300","2935320","465.9238"
"20220621","01","13","    16930","","4761.0000","4778.0000","4738.0000","4765.0000","4778.0000","4778.0000","4763.0000","4769.0000","4761.0000","4778.0000","4738.0000","4769.0000"," ","0.0000","0.0000","2940","14016300","4767.4490"
"20220621","01","13","    16940","","3190.0000","3284.0000","3182.0000","3260.0000","3277.0000","3280.0000","3260.0000","3261.0000","3190.0000","3284.0000","3182.0000","3261.0000"," ","0.0000","0.0000","1560","5085050","3259.6474"
"20220621","01","13","    16950","","143.2000","144.2000","141.6000","142.0000","142.0000","142.5000","140.9000","141.0000","143.2000","144.2000","140.9000","141.0000"," ","0.0000","0.0000","461400","65484180","141.9250"
"20220621","01","13","    16960","","194.9000","196.0000","193.0000","194.5000","194.3000","194.3000","192.6000","192.6000","194.9000","196.0000","192.6000","192.6000"," ","0.0000","0.0000","46700","9057750","193.9561"
"20220621","01","13","    16970","","4181.0000","4181.0000","4151.0000","4172.0000","4170.0000","4170.0000","4143.0000","4143.0000","4181.0000","4181.0000","4143.0000","4143.0000"," ","0.0000","0.0000","610","2542390","4167.8525"
"20220621","01","13","    17730","","0.0000","0.0000","0.0000","0.0000","17.0000","17.0000","17.0000","17.0000","17.0000","17.0000","17.0000","17.0000"," ","0.0000","0.0000","9000","153000","17.0000"
"20220621","01","13","    20310","","7398.0000","7398.0000","7147.0000","7310.0000","7394.0000","7400.0000","7326.0000","7400.0000","7398.0000","7400.0000","7147.0000","7400.0000"," ","0.0000","0.0000","1791","13131245","7331.7951"
"20220621","01","13","    20320","","7700.0000","7700.0000","7595.0000","7595.0000","7526.0000","7550.0000","7514.0000","7543.0000","7700.0000","7700.0000","7514.0000","7543.0000"," ","0.0000","0.0000","85","641168","7543.1529"
"20220621","01","13","    20330","","11350.0000","11350.0000","11350.0000","11350.0000","11350.0000","11350.0000","11350.0000","11350.0000","11350.0000","11350.0000","11350.0000","11350.0000"," ","0.0000","0.0000","3","34050","11350.0000"
"20220621","01","13","    20340","","8300.0000","8328.0000","8144.0000","8147.0000","8169.0000","8260.0000","8151.0000","8189.0000","8300.0000","8328.0000","8144.0000","8189.0000"," ","0.0000","0.0000","885","7293269","8240.9819"
"20220621","01","13","    20360","","27180.0000","27255.0000","27040.0000","27045.0000","27200.0000","27215.0000","27005.0000","27050.0000","27180.0000","27255.0000","27005.0000","27050.0000"," ","0.0000","0.0000","1825","49532435","27141.0603"
"20220621","01","13","    20370","","4320.0000","4355.0000","4320.0000","4325.0000","4320.0000","4360.0000","4315.0000","4325.0000","4320.0000","4360.0000","4315.0000","4325.0000"," ","0.0000","0.0000","103","447125","4341.0194"
