日付,取引所コード,株式債券種別ｺｰﾄﾞ,銘柄コード,ISIN,前場始値,前場高値,前場安値,前場終値,後場始値,後場高値,後場安値,後場終値,日通し始値,日通し高値,日通し安値,日通し終値,特別気配コード,特別気配値段,清算値段／証拠金算定基準値段,売買高,売買代金,VWAP
20230112,1,13,13130,,3305,3360,3280,3285,3218,3281,3213,3280,3305,3360,3213,3280, ,0,0,1960,6437480,3284.4286
20230112,1,13,13260,,23045,23060,22970,23060,23050,23080,23040,23060,23045,23080,22970,23060, ,0,0,9620,221413860,23015.9938
20230112,1,13,13490,,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0
20230112,1,13,13850,,5940,5940,5940,5940,5910,5950,5880,5900,5940,5950,5880,5900, ,0,0,95,562520,5921.2632
20230112,1,13,13860,,10510,10590,10500,10590,10540,10540,10540,10540,10510,10590,10500,10540, ,0,0,19,200815,10569.2105
20230112,1,13,13870,,19995,19995,19995,19995,0,0,0,0,19995,19995,19995,19995, ,0,0,2,39990,19995
20230112,1,13,13880,,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0
20230112,1,13,13890,,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0
20230112,1,13,13900,,5820,5840,5820,5840,5870,5870,5870,5870,5820,5870,5820,5870, ,0,0,14,82020,5858.5714
20230112,1,13,13910,,3050,3050,3045,3050,3050,3050,3010,3025,3050,3050,3010,3025, ,0,0,269,816015,3033.513
20230112,1,13,13920,,3185,3185,3180,3180,3180,3180,3180,3180,3185,3185,3180,3180, ,0,0,6,19095,3182.5
20230112,1,13,13930,,50500,50520,50330,50520,50520,50520,50520,50520,50500,50520,50330,50520, ,0,0,35,1766730,50478
20230112,1,13,13940,,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0
20230112,1,13,15570,,52140,52200,52010,52090,52090,52130,52040,52110,52140,52200,52010,52110, ,0,0,8360,435682220,52115.0981
20230112,1,13,15840,,932,932,932,932,927,927,927,927,932,932,927,927, ,0,0,60,55670,927.8333
20230112,1,13,16720,,23325,23325,23215,23300,23270,23300,23270,23300,23325,23325,23215,23300, ,0,0,168,3910615,23277.4702
20230112,1,13,16730,,2886,2886,2879,2879.5,2888.5,2888.5,2888,2888,2886,2888.5,2879,2888, ,0,0,320,922220,2881.9375
20230112,1,13,16740,,13295,13295,13210,13210,13045,13050,13045,13050,13295,13295,13045,13050, ,0,0,45,592180,13159.5556
20230112,1,13,16750,,22095,22095,21800,21800,22085,22085,21850,21850,22095,22095,21800,21850, ,0,0,20,441260,22063
20230112,1,13,16760,,18870,18870,18870,18870,18870,18870,18870,18870,18870,18870,18870,18870, ,0,0,18,339660,18870
20230112,1,13,16840,,1507,1507.5,1507,1507.5,0,0,0,0,1507,1507.5,1507,1507.5, ,0,0,30,45215,1507.1667
20230112,1,13,16850,,550.7,559.1,550.7,553,545.3,553,545.3,551,550.7,559.1,545.3,551, ,0,0,1890,1042918,551.8085
