"日付","取引所コード","株式債券種別ｺｰﾄﾞ","銘柄コード","ISIN","前場始値","前場高値","前場安値","前場終値","後場始値","後場高値","後場安値","後場終値","日通し始値","日通し高値","日通し安値","日通し終値","特別気配コード","特別気配値段","清算値段／証拠金算定基準値段","売買高","売買代金","VWAP"
"20231204","01","13","    13260","","28685.0000","28685.0000","28335.0000","28370.0000","28355.0000","28440.0000","28330.0000","28380.0000","28685.0000","28685.0000","28330.0000","28380.0000"," ","0.0000","0.0000","20106","573265740","28512.1725"
"20231204","01","13","    13490","","15880.0000","15880.0000","15800.0000","15800.0000","0.0000","0.0000","0.0000","0.0000","15880.0000","15880.0000","15800.0000","15800.0000"," ","0.0000","0.0000","13","205560","15812.3077"
"20231204","01","13","    15570","","67190.0000","67260.0000","67060.0000","67210.0000","67180.0000","67310.0000","67160.0000","67260.0000","67190.0000","67310.0000","67060.0000","67260.0000"," ","0.0000","0.0000","3314","222729250","67208.5848"
"20231204","01","13","    16720","","28880.0000","28880.0000","28660.0000","28660.0000","28695.0000","28740.0000","28660.0000","28740.0000","28880.0000","28880.0000","28660.0000","28740.0000"," ","0.0000","0.0000","544","15633730","28738.4743"
"20231204","01","13","    16730","","3451.0000","3475.0000","3430.0000","3430.0000","3431.0000","3458.0000","3431.0000","3450.0000","3451.0000","3475.0000","3430.0000","3450.0000"," ","0.0000","0.0000","1560","5384320","3451.4872"
"20231204","01","13","    16740","","12605.0000","12705.0000","12600.0000","12600.0000","12600.0000","12665.0000","12600.0000","12640.0000","12605.0000","12705.0000","12600.0000","12640.0000"," ","0.0000","0.0000","1350","17081725","12653.1296"
"20231204","01","13","    16750","","13800.0000","13990.0000","13605.0000","13795.0000","13795.0000","13795.0000","13645.0000","13790.0000","13800.0000","13990.0000","13605.0000","13790.0000"," ","0.0000","0.0000","157","2164975","13789.6497"
"20231204","01","13","    16760","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"," ","0.0000","0.0000","0","0","0.0000"
"20231204","01","13","    16840","","1665.0000","1665.0000","1665.0000","1665.0000","1677.0000","1677.0000","1677.0000","1677.0000","1665.0000","1677.0000","1665.0000","1677.0000","1","1635.5000","0.0000","70","116670","1666.7143"
"20231204","01","13","    16850","","564.8000","564.8000","544.2000","544.2000","544.7000","544.7000","543.3000","543.3000","564.8000","564.8000","543.3000","543.3000"," ","0.0000","0.0000","4270","2343530","548.8361"
