"日付","取引所コード","株式債券種別ｺｰﾄﾞ","銘柄コード","ISIN","前場始値","前場高値","前場安値","前場終値","後場始値","後場高値","後場安値","後場終値","日通し始値","日通し高値","日通し安値","日通し終値","特別気配コード","特別気配値段","清算値段／証拠金算定基準値段","売買高","売買代金","VWAP"
"20231220","01","13","    13260","","27235.0000","27265.0000","27165.0000","27200.0000","27200.0000","27210.0000","27110.0000","27155.0000","27235.0000","27265.0000","27110.0000","27155.0000"," ","0.0000","0.0000","5898","160597885","27229.2107"
"20231220","01","13","    13490","","15480.0000","15580.0000","15480.0000","15520.0000","15530.0000","15530.0000","15530.0000","15530.0000","15480.0000","15580.0000","15480.0000","15530.0000"," ","0.0000","0.0000","17","263390","15493.5294"
"20231220","01","13","    15570","","68290.0000","68400.0000","68220.0000","68370.0000","68320.0000","68340.0000","68110.0000","68200.0000","68290.0000","68400.0000","68110.0000","68200.0000"," ","0.0000","0.0000","7171","489500350","68261.1003"
"20231220","01","13","    16720","","27535.0000","27560.0000","27450.0000","27480.0000","27475.0000","27500.0000","27430.0000","27460.0000","27535.0000","27560.0000","27430.0000","27460.0000"," ","0.0000","0.0000","239","6570960","27493.5565"
"20231220","01","13","    16730","","3211.0000","3211.0000","3190.0000","3195.0000","3200.0000","3200.0000","3186.0000","3196.0000","3211.0000","3211.0000","3186.0000","3196.0000"," ","0.0000","0.0000","650","2076720","3194.9538"
"20231220","01","13","    16740","","12635.0000","12780.0000","12625.0000","12725.0000","12745.0000","12750.0000","12655.0000","12740.0000","12635.0000","12780.0000","12625.0000","12740.0000"," ","0.0000","0.0000","408","5178435","12692.2426"
"20231220","01","13","    16750","","16300.0000","16440.0000","16295.0000","16330.0000","16440.0000","16470.0000","16300.0000","16330.0000","16300.0000","16470.0000","16295.0000","16330.0000"," ","0.0000","0.0000","921","15065615","16357.8882"
"20231220","01","13","    16760","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"," ","0.0000","0.0000","0","0","0.0000"
"20231220","01","13","    16840","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"," ","0.0000","0.0000","0","0","0.0000"
"20231220","01","13","    16850","","529.5000","536.1000","529.5000","536.0000","534.4000","534.4000","532.1000","532.1000","529.5000","536.1000","529.5000","532.1000"," ","0.0000","0.0000","5500","2919802","530.8731"
"20231220","01","13","    16860","","2030.0000","2040.0000","2030.0000","2040.0000","0.0000","0.0000","0.0000","0.0000","2030.0000","2040.0000","2030.0000","2040.0000"," ","0.0000","0.0000","110","224165","2037.8636"
"20231220","01","13","    16870","","935.6000","937.1000","933.5000","933.8000","938.1000","938.1000","933.7000","933.7000","935.6000","938.1000","933.5000","933.7000"," ","0.0000","0.0000","720","673672","935.6556"
"20231220","01","13","    16880","","612.8000","612.8000","609.4000","612.3000","612.2000","612.2000","611.0000","611.0000","612.8000","612.8000","609.4000","611.0000"," ","0.0000","0.0000","1200","733582","611.3183"
"20231220","01","13","    16890","","1532.0000","1532.0000","1526.0000","1530.0000","1528.0000","1528.0000","1507.0000","1516.0000","1532.0000","1532.0000","1507.0000","1516.0000"," ","0.0000","0.0000","33668","51318054","1524.2383"
"20231220","01","13","    16900","","1338.0000","1341.5000","1338.0000","1340.5000","1339.0000","1339.0000","1334.0000","1334.0000","1338.0000","1341.5000","1334.0000","1334.0000"," ","0.0000","0.0000","1840","2461845","1337.9592"
"20231220","01","13","    16910","","7379.0000","7379.0000","7379.0000","7379.0000","7338.0000","7338.0000","7338.0000","7338.0000","7379.0000","7379.0000","7338.0000","7338.0000"," ","0.0000","0.0000","11","81046","7367.8182"
"20231220","01","13","    16920","","433.9000","433.9000","430.4000","433.9000","430.7000","430.7000","430.7000","430.7000","433.9000","433.9000","430.4000","430.7000"," ","0.0000","0.0000","1700","733710","431.5941"
"20231220","01","13","    16930","","4985.0000","5006.0000","4985.0000","5000.0000","5006.0000","5006.0000","4987.0000","5006.0000","4985.0000","5006.0000","4985.0000","5006.0000"," ","0.0000","0.0000","1660","8282790","4989.6325"
"20231220","01","13","    16940","","2209.0000","2212.0000","2205.0000","2205.0000","2205.0000","2211.0000","2199.5000","2211.0000","2209.0000","2212.0000","2199.5000","2211.0000"," ","0.0000","0.0000","640","1412805","2207.5078"
"20231220","01","13","    16950","","3690.0000","3705.0000","3690.0000","3695.0000","3690.0000","3695.0000","3675.0000","3675.0000","3690.0000","3705.0000","3675.0000","3675.0000"," ","0.0000","0.0000","8768","32408870","3696.2671"
"20231220","01","13","    16960","","3455.0000","3465.0000","3455.0000","3465.0000","3460.0000","3460.0000","3450.0000","3460.0000","3455.0000","3465.0000","3450.0000","3460.0000"," ","0.0000","0.0000","2052","7082850","3451.6813"
"20231220","01","13","    16970","","4567.0000","4567.0000","4567.0000","4567.0000","4567.0000","4574.0000","4555.0000","4572.0000","4567.0000","4574.0000","4555.0000","4572.0000"," ","0.0000","0.0000","1150","5256620","4570.9739"
"20231220","01","13","    17730","","57.0000","59.0000","56.0000","58.0000","58.0000","58.0000","58.0000","58.0000","57.0000","59.0000","56.0000","58.0000"," ","0.0000","0.0000","87000","5030000","57.8161"
"20231220","01","13","    20310","","4040.0000","4080.0000","4030.0000","4060.0000","4065.0000","4065.0000","4030.0000","4060.0000","4040.0000","4080.0000","4030.0000","4060.0000"," ","0.0000","0.0000","3020","12225025","4048.0215"
"20231220","01","13","    20320","","9579.0000","9579.0000","9433.0000","9433.0000","9492.0000","9492.0000","9400.0000","9476.0000","9579.0000","9579.0000","9400.0000","9476.0000"," ","0.0000","0.0000","346","3275927","9467.9971"
"20231220","01","13","    20330","","12515.0000","12670.0000","12515.0000","12670.0000","12730.0000","12730.0000","12730.0000","12730.0000","12515.0000","12730.0000","12515.0000","12730.0000"," ","0.0000","0.0000","38","479450","12617.1053"
"20231220","01","13","    20340","","7750.0000","7900.0000","7750.0000","7801.0000","7801.0000","7878.0000","7760.0000","7878.0000","7750.0000","7900.0000","7750.0000","7878.0000"," ","0.0000","0.0000","330","2563136","7767.0788"
"20231220","01","13","    20360","","37500.0000","37510.0000","37100.0000","37330.0000","37400.0000","37400.0000","37120.0000","37120.0000","37500.0000","37510.0000","37100.0000","37120.0000"," ","0.0000","0.0000","3364","125628520","37344.9822"
"20231220","01","13","    20370","","3550.0000","3550.0000","3505.0000","3510.0000","3510.0000","3550.0000","3510.0000","3520.0000","3550.0000","3550.0000","3505.0000","3520.0000"," ","0.0000","0.0000","731","2569530","3515.0889"
"20231220","01","13","    20380","","1692.0000","1697.0000","1687.0000","1692.0000","1686.0000","1692.0000","1675.0000","1687.0000","1692.0000","1697.0000","1675.0000","1687.0000"," ","0.0000","0.0000","764552","1291761948","1689.5672"
"20231220","01","13","    20390","","1117.0000","1120.0000","1117.0000","1120.0000","1119.0000","1124.0000","1118.0000","1119.0000","1117.0000","1124.0000","1117.0000","1119.0000"," ","0.0000","0.0000","86555","96934790","1119.9213"
"20231220","01","13","    20400","","27560.0000","27600.0000","27560.0000","27600.0000","27610.0000","27650.0000","27585.0000","27630.0000","27560.0000","27650.0000","27560.0000","27630.0000"," ","0.0000","0.0000","3522","97189450","27594.9602"
"20231220","01","13","    20410","","2667.0000","2667.0000","2660.0000","2664.0000","2661.0000","2665.0000","2660.0000","2665.0000","2667.0000","2667.0000","2660.0000","2665.0000"," ","0.0000","0.0000","29330","78099113","2662.7723"
"20231220","01","13","    20420","","7295.0000","7370.0000","7290.0000","7340.0000","7364.0000","7364.0000","7271.0000","7319.0000","7295.0000","7370.0000","7271.0000","7319.0000"," ","0.0000","0.0000","2306","16899952","7328.6869"
"20231220","01","13","    20430","","0.0000","0.0000","0.0000","0.0000","16965.0000","17170.0000","16865.0000","17170.0000","16965.0000","17170.0000","16865.0000","17170.0000"," ","0.0000","0.0000","18","307020","17056.6667"
"20231220","01","13","    20440","","25790.0000","25840.0000","25770.0000","25790.0000","25790.0000","25865.0000","25730.0000","25785.0000","25790.0000","25865.0000","25730.0000","25785.0000"," ","0.0000","0.0000","1810","46738115","25822.1630"
