"日付","取引所コード","株式債券種別ｺｰﾄﾞ","銘柄コード","ISIN","前場始値","前場高値","前場安値","前場終値","後場始値","後場高値","後場安値","後場終値","日通し始値","日通し高値","日通し安値","日通し終値","特別気配コード","特別気配値段","清算値段／証拠金算定基準値段","売買高","売買代金","VWAP"
"20190425","01","11","    13010","JP3257200000","2760.0000","2770.0000","2758.0000","2764.0000","2759.0000","2774.0000","2759.0000","2766.0000","2760.0000","2774.0000","2758.0000","2766.0000"," ","0.0000","0.0000","12300","34008000","2764.8780"
"20190425","01","11","    13050","JP3027620008","1709.0000","1712.0000","1707.0000","1711.0000","1711.0000","1718.0000","1710.0000","1714.0000","1709.0000","1718.0000","1707.0000","1714.0000"," ","0.0000","0.0000","326600","559576800","1713.3399"
"20190425","01","11","    13060","JP3027630007","1686.0000","1689.0000","1683.0000","1688.0000","1688.0000","1695.0000","1687.0000","1691.0000","1686.0000","1695.0000","1683.0000","1691.0000"," ","0.0000","0.0000","1551900","2622007130","1689.5464"
"20190425","01","11","    13080","JP3039100007","1669.0000","1671.0000","1665.0000","1670.0000","1669.0000","1677.0000","1669.0000","1676.0000","1669.0000","1677.0000","1665.0000","1676.0000"," ","0.0000","0.0000","279700","467026600","1669.7412"
"20190425","01","11","    13090","JP3046510008","33450.0000","33800.0000","33450.0000","33550.0000","33450.0000","33500.0000","33400.0000","33400.0000","33450.0000","33800.0000","33400.0000","33400.0000"," ","0.0000","0.0000","702","23506600","33485.1852"
"20190425","01","11","    13100","JP3040100004","735.0000","735.0000","735.0000","735.0000","0.0000","0.0000","0.0000","0.0000","735.0000","735.0000","735.0000","735.0000"," ","0.0000","0.0000","10","7350","735.0000"
"20190425","01","11","    13110","JP3040140000","750.0000","750.0000","749.0000","749.0000","0.0000","0.0000","0.0000","0.0000","750.0000","750.0000","749.0000","749.0000"," ","0.0000","0.0000","80","59960","749.5000"
"20190425","01","11","    13120","JP3046520007","19950.0000","19950.0000","19640.0000","19640.0000","19940.0000","19940.0000","19740.0000","19740.0000","19950.0000","19950.0000","19640.0000","19740.0000"," ","0.0000","0.0000","63","1239530","19675.0794"
"20190425","01","11","    13200","JP3027640006","23020.0000","23120.0000","23000.0000","23100.0000","23080.0000","23170.0000","23080.0000","23160.0000","23020.0000","23170.0000","23000.0000","23160.0000"," ","0.0000","0.0000","77144","1783045100","23113.2052"
"20190425","01","11","    13210","JP3027650005","23060.0000","23150.0000","23030.0000","23130.0000","23100.0000","23200.0000","23100.0000","23170.0000","23060.0000","23200.0000","23030.0000","23170.0000"," ","0.0000","0.0000","211249","4884950940","23124.1376"
"20190425","01","11","    13220","JP3046760009","5290.0000","5290.0000","5280.0000","5280.0000","5280.0000","5280.0000","5270.0000","5270.0000","5290.0000","5290.0000","5270.0000","5270.0000"," ","0.0000","0.0000","800","4222700","5278.3750"
"20190425","01","11","    13230","JP3046780007","0.0000","0.0000","0.0000","0.0000","371.0000","371.0000","371.0000","371.0000","371.0000","371.0000","371.0000","371.0000"," ","0.0000","0.0000","100","37100","371.0000"
"20190425","01","11","    13240","JP3046790006","140.0000","140.0000","137.0000","137.0000","137.0000","138.0000","137.0000","137.0000","140.0000","140.0000","137.0000","137.0000"," ","0.0000","0.0000","18000","2479500","137.7500"
"20190425","01","11","    13250","JP3046800003","209.0000","211.0000","209.0000","210.0000","210.0000","210.0000","209.0000","209.0000","209.0000","211.0000","209.0000","209.0000"," ","0.0000","0.0000","22300","4682600","209.9821"
"20190425","01","11","    13280","JP3046490003","3715.0000","3720.0000","3710.0000","3710.0000","3710.0000","3715.0000","3710.0000","3715.0000","3715.0000","3720.0000","3710.0000","3715.0000"," ","0.0000","0.0000","530","1968950","3715.0000"
"20190425","01","11","    13290","JP3027710007","22970.0000","23080.0000","22970.0000","23070.0000","23040.0000","23110.0000","23040.0000","23100.0000","22970.0000","23110.0000","22970.0000","23100.0000"," ","0.0000","0.0000","2409","55549360","23059.0951"
"20190425","01","11","    13300","JP3027660004","23140.0000","23230.0000","23100.0000","23210.0000","23190.0000","23270.0000","23180.0000","23250.0000","23140.0000","23270.0000","23100.0000","23250.0000"," ","0.0000","0.0000","109190","2534675800","23213.4426"
"20190425","01","11","    13320","JP3718800000","773.0000","773.0000","766.0000","770.0000","770.0000","777.0000","769.0000","777.0000","773.0000","777.0000","766.0000","777.0000"," ","0.0000","0.0000","1395200","1077465500","772.2660"
"20190425","01","11","    13330","JP3876600002","3530.0000","3545.0000","3510.0000","3525.0000","3525.0000","3560.0000","3525.0000","3550.0000","3530.0000","3560.0000","3510.0000","3550.0000"," ","0.0000","0.0000","160600","568122000","3537.4969"
"20190425","01","11","    13430","JP3047010008","2036.0000","2039.0000","2031.0000","2038.0000","2037.0000","2039.0000","2033.0000","2035.0000","2036.0000","2039.0000","2031.0000","2035.0000"," ","0.0000","0.0000","90540","184361360","2036.2421"
"20190425","01","11","    13440","JP3047020007","724.0000","724.0000","716.0000","716.0000","718.0000","721.0000","717.0000","721.0000","724.0000","724.0000","716.0000","721.0000"," ","0.0000","0.0000","620","444820","717.4516"
"20190425","01","11","    13450","JP3047030006","1916.0000","1920.0000","1914.0000","1918.0000","1918.0000","1923.0000","1917.0000","1923.0000","1916.0000","1923.0000","1914.0000","1923.0000"," ","0.0000","0.0000","174400","334458400","1917.7661"
"20190425","01","11","    13460","JP3047040005","22950.0000","23060.0000","22920.0000","23020.0000","23000.0000","23100.0000","23000.0000","23090.0000","22950.0000","23100.0000","22920.0000","23090.0000"," ","0.0000","0.0000","42897","987349310","23016.7450"
"20190425","01","11","    13480","JP3047060003","1674.0000","1676.0000","1669.0000","1676.0000","1675.0000","1683.0000","1674.0000","1680.0000","1674.0000","1683.0000","1669.0000","1680.0000"," ","0.0000","0.0000","265380","445656860","1679.3159"
"20190425","01","11","    13520","JP3839400003","0.0000","0.0000","0.0000","0.0000","853.0000","853.0000","853.0000","853.0000","853.0000","853.0000","853.0000","853.0000"," ","0.0000","0.0000","400","341200","853.0000"
"20190425","01","11","    13560","JP3047770007","2426.0000","2440.0000","2420.0000","2424.0000","2427.0000","2427.0000","2402.0000","2410.0000","2426.0000","2440.0000","2402.0000","2410.0000"," ","0.0000","0.0000","197410","477889980","2420.7993"
"20190425","01","11","    13570","JP3047780006","1077.0000","1081.0000","1068.0000","1069.0000","1072.0000","1074.0000","1064.0000","1066.0000","1077.0000","1081.0000","1064.0000","1066.0000"," ","0.0000","0.0000","21029957","22517328962","1070.7263"
"20190425","01","11","    13580","JP3047790005","18630.0000","18770.0000","18570.0000","18730.0000","18710.0000","18840.0000","18690.0000","18810.0000","18630.0000","18840.0000","18570.0000","18810.0000"," ","0.0000","0.0000","12434","233046890","18742.7127"
"20190425","01","11","    13600","JP3047810001","2583.0000","2590.0000","2561.0000","2566.0000","2572.0000","2572.0000","2551.0000","2554.0000","2583.0000","2590.0000","2551.0000","2554.0000"," ","0.0000","0.0000","1197330","3071673510","2565.4360"
"20190425","01","11","    13640","JP3047840008","14690.0000","14690.0000","14610.0000","14640.0000","14680.0000","14680.0000","14680.0000","14680.0000","14690.0000","14690.0000","14610.0000","14680.0000"," ","0.0000","0.0000","35","512950","14655.7143"
"20190425","01","11","    13650","JP3047850007","15040.0000","15150.0000","14990.0000","15130.0000","15100.0000","15210.0000","15090.0000","15190.0000","15040.0000","15210.0000","14990.0000","15190.0000"," ","0.0000","0.0000","73275","1107343190","15112.1554"
"20190425","01","11","    13660","JP3047860006","2810.0000","2816.0000","2787.0000","2790.0000","2797.0000","2800.0000","2776.0000","2778.0000","2810.0000","2816.0000","2776.0000","2778.0000"," ","0.0000","0.0000","218047","609408232","2794.8480"
"20190425","01","11","    13670","JP3047870005","12770.0000","12820.0000","12710.0000","12790.0000","12800.0000","12910.0000","12780.0000","12850.0000","12770.0000","12910.0000","12710.0000","12850.0000"," ","0.0000","0.0000","3347","42879970","12811.4640"
"20190425","01","11","    13680","JP3047880004","3535.0000","3565.0000","3535.0000","3535.0000","3540.0000","3540.0000","3500.0000","3520.0000","3535.0000","3565.0000","3500.0000","3520.0000"," ","0.0000","0.0000","6900","24321235","3524.8167"
"20190425","01","11","    13690","JP3047890003","22370.0000","22450.0000","22370.0000","22450.0000","22520.0000","22540.0000","22510.0000","22540.0000","22370.0000","22540.0000","22370.0000","22540.0000"," ","0.0000","0.0000","5945","133386540","22436.7603"
"20190425","01","11","    13760","JP3216200000","1340.0000","1340.0000","1335.0000","1336.0000","1330.0000","1349.0000","1330.0000","1344.0000","1340.0000","1349.0000","1330.0000","1344.0000"," ","0.0000","0.0000","5300","7103800","1340.3396"
"20190425","01","11","    13770","JP3315000004","3550.0000","3570.0000","3535.0000","3570.0000","3565.0000","3580.0000","3555.0000","3575.0000","3550.0000","3580.0000","3535.0000","3575.0000"," ","0.0000","0.0000","85600","304902500","3561.9451"
"20190425","01","11","    13790","JP3843250006","1910.0000","1915.0000","1906.0000","1913.0000","1912.0000","1924.0000","1912.0000","1919.0000","1910.0000","1924.0000","1906.0000","1919.0000"," ","0.0000","0.0000","39500","75671900","1915.7443"
"20190425","01","11","    13840","JP3845670003","598.0000","598.0000","596.0000","596.0000","597.0000","598.0000","596.0000","598.0000","598.0000","598.0000","596.0000","598.0000"," ","0.0000","0.0000","5400","3226200","597.4444"
"20190425","01","11","    13970","JP3047920008","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"," ","0.0000","0.0000","0","0","0.0000"
"20190425","01","11","    13980","JP3047930007","1927.0000","1927.0000","1920.0000","1920.0000","1924.0000","1924.0000","1924.0000","1924.0000","1927.0000","1927.0000","1920.0000","1924.0000"," ","0.0000","0.0000","210","404340","1925.4286"
