Date,Issue code,ISIN code,Exchange code,Issue classification,Industry code,Securities under supervision and to be delisted flag,Ex-rights flag,Open,High,Low,Close,Final quote identifier,Final quote flag,Final quote,Trading volume,Turnover value,All-day VWAP
20160701,97760,JP3321100004,01,0124,9050, , ,,,,,,,,,,
20160704,97760,JP3321100004,01,0124,9050, , ,986,986,986,986,,,,200,197200,986
20160705,97760,JP3321100004,01,0124,9050, , ,,,,,,,,,,
20160706,97760,JP3321100004,01,0124,9050, , ,987,1092,987,1091,1,3,1090,300,317000,1056.6667
20160707,97760,JP3321100004,01,0124,9050, , ,,,,,,,,,,
20160708,97760,JP3321100004,01,0124,9050, , ,1044,1044,1044,1044,,,,400,417600,1044
20160711,97760,JP3321100004,01,0124,9050, , ,1044,1044,1044,1044,,,,100,104400,1044
20160712,97760,JP3321100004,01,0124,9050, , ,1045,1045,1045,1045,,,,100,104500,1045
20160713,97760,JP3321100004,01,0124,9050, , ,1015,1075,1015,1075,,,,700,728500,1040.7143
20160714,97760,JP3321100004,01,0124,9050, , ,,,,,,,,,,
20160715,97760,JP3321100004,01,0124,9050, , ,,,,,,,,,,
20160719,97760,JP3321100004,01,0124,9050, , ,1015,1015,1015,1015,,,,300,304500,1015
20160720,97760,JP3321100004,01,0124,9050, , ,,,,,,,,,,
20160721,97760,JP3321100004,01,0124,9050, , ,1045,1045,1017,1017,,,,300,307900,1026.3333
20160722,97760,JP3321100004,01,0124,9050, , ,,,,,,,,,,
20160725,97760,JP3321100004,01,0124,9050, , ,1068,1068,1038,1040,,,,300,314600,1048.6667
20160726,97760,JP3321100004,01,0124,9050, , ,1045,1045,1045,1045,,,,300,313500,1045
20160727,97760,JP3321100004,01,0124,9050, , ,1046,1046,1046,1046,,,,400,418400,1046
20160728,97760,JP3321100004,01,0124,9050, , ,1046,1046,1025,1025,,,,1800,1880300,1044.6111
20160729,97760,JP3321100004,01,0124,9050, , ,,,,,,,,,,
20160701,97780,JP3399750003,01,0124,9050, , ,383,383,383,383,,,,2000,766000,383
20160704,97780,JP3399750003,01,0124,9050, , ,383,383,383,383,,,,2000,766000,383
20160705,97780,JP3399750003,01,0124,9050, , ,,,,,,,,,,
20160706,97780,JP3399750003,01,0124,9050, , ,383,395,383,395,,,,3000,1166000,388.6667
20160707,97780,JP3399750003,01,0124,9050, , ,,,,,,,,,,
20160708,97780,JP3399750003,01,0124,9050, , ,385,385,385,385,,,,3000,1155000,385
20160711,97780,JP3399750003,01,0124,9050, , ,,,,,,,,,,
20160712,97780,JP3399750003,01,0124,9050, , ,,,,,,,,,,
20160713,97780,JP3399750003,01,0124,9050, , ,381,381,377,377,,,,2000,758000,379
20160714,97780,JP3399750003,01,0124,9050, , ,378,384,378,380,,,,3000,1142000,380.6667
20160715,97780,JP3399750003,01,0124,9050, , ,380,380,380,380,,,,1000,380000,380
20160719,97780,JP3399750003,01,0124,9050, , ,388,388,388,388,,,,1000,388000,388
20160720,97780,JP3399750003,01,0124,9050, , ,388,396,388,396,,,,2000,784000,392
20160721,97780,JP3399750003,01,0124,9050, , ,396,396,386,386,,,,3000,1170000,390
20160722,97780,JP3399750003,01,0124,9050, , ,387,395,387,395,,,,2000,782000,391
20160725,97780,JP3399750003,01,0124,9050, , ,389,389,389,389,,,,1000,389000,389
20160726,97780,JP3399750003,01,0124,9050, , ,405,405,405,405,,,,3000,1215000,405
20160727,97780,JP3399750003,01,0124,9050, , ,400,405,400,405,,,,3000,1210000,403.3333
20160728,97780,JP3399750003,01,0124,9050, , ,405,405,400,400,,,,2000,805000,402.5
20160729,97780,JP3399750003,01,0124,9050, , ,,,,,,,,,,
20160701,97800,JP3773200005,01,0124,9050, , ,413,413,410,410,,,,2000,823000,411.5
20160704,97800,JP3773200005,01,0124,9050, , ,,,,,,,,,,
20160705,97800,JP3773200005,01,0124,9050, , ,414,414,414,414,,,,3000,1242000,414
20160706,97800,JP3773200005,01,0124,9050, , ,406,407,406,407,,,,4000,1626000,406.5
20160707,97800,JP3773200005,01,0124,9050, , ,407,407,407,407,,,,6000,2442000,407
20160708,97800,JP3773200005,01,0124,9050, , ,402,402,402,402,,,,1000,402000,402
20160711,97800,JP3773200005,01,0124,9050, , ,,,,,,,,,,
20160712,97800,JP3773200005,01,0124,9050, , ,,,,,,,,,,
20160713,97800,JP3773200005,01,0124,9050, , ,,,,,,,,,,
20160714,97800,JP3773200005,01,0124,9050, , ,,,,,,,,,,
20160715,97800,JP3773200005,01,0124,9050, , ,,,,,,,,,,
20160719,97800,JP3773200005,01,0124,9050, , ,407,412,407,412,,,,3000,1226000,408.6667
20160720,97800,JP3773200005,01,0124,9050, , ,426,426,426,426,,,,1000,426000,426
20160721,97800,JP3773200005,01,0124,9050, , ,410,410,410,410,,,,1000,410000,410
20160722,97800,JP3773200005,01,0124,9050, , ,,,,,,,,,,
20160725,97800,JP3773200005,01,0124,9050, , ,,,,,,,,,,
20160726,97800,JP3773200005,01,0124,9050, , ,403,403,403,403,,,,1000,403000,403
20160727,97800,JP3773200005,01,0124,9050, , ,398,398,397,397,,,,3000,1192000,397.3333
20160728,97800,JP3773200005,01,0124,9050, , ,404,404,404,404,,,,1000,404000,404
20160729,97800,JP3773200005,01,0124,9050, , ,405,405,405,405,,,,2000,810000,405
20160701,97820,JP3548550007,01,0124,9050, , ,637,640,630,630,,,,13800,8775700,635.9203
20160704,97820,JP3548550007,01,0124,9050, , ,642,663,642,651,,,,7400,4795900,648.0946
20160705,97820,JP3548550007,01,0124,9050, , ,664,664,657,657,,,,3100,2057700,663.7742
